❤,♤,Name,Mods,Ready?,Victory,,Count,Odds,,,Players,3 Symbols,2 Symbols,Hand Size,Deck Size,Discards,,,Sender intention,heart state,desired card,takes stamp,Sender Action,Receiver Action
💎,👑,Narcissist,🗡,✅,Fatale Victory if my fiance achieves no Victories.,,1,0.8801219745,0.3349533067,,3,0.489237913,0.9059083415,7,6,29,,,,None,no,no,Set broken heart side,
💎,🙏,Outlaw,,✅,Secure Victory if my fiance and I commit <b>at most</b><br/>👑👑👑 <b>combined</b>.,,2,0.5451686678,0.3445234011,,4,0.5917199082,0.9572041656,7,8,20,,,,Broken,no,no,Set heart state,
💎,🌹,Indebted,,✅,Fairytale Victory if my fiance and I commit <b>at least</b><br/>🌹🌹🌹 and 💎💎💎 <b>combined</b>.,,3,0.2006452667,0.1626916061,,5,0.6736393761,0.9805351136,6,10,16,,,,Set,no,no,Break Heart,Receiver reflects
💎,💎,,,,,,4,0.0379536606,0.03517656348,,6,0.7391220905,0.9911467598,6,12,8,,,,None,yes,no,Set broken heart side,
👑,💎,Matchmaker,,✅,Cupid Victory if my left neighbor marries<br/>my right neighbor.,,5,0.002777097117,0.002777097117,,7,0.7914660082,0.995973269,5,14,7,,,,Broken,yes,no,Set heart state,
👑,🙏,Ambitious,,✅,Royal Victory if my fiance or I have <b>at least</b><br/>👑👑👑👑👑 committed.,,6,0,#NUM!,,8,0.8333073666,0.9981685166,5,16,0,,,,Set,yes,no,Break Heart,Receiver reflects
👑,🌹,Heart Broken,🗡,✅,Bitter Victory if no suitors achieve a Prim Victory.,,7,0,#NUM!,,,,,,,,,,,None,no,yes,Sender set's heart side,
🌹,👑,Romantic,,✅,First Sight Victory if I marry the first suitor I Write to.,,8,0,#NUM!,,,,,,,,,,,Broken,no,yes,Sender set's heart side,
🌹,🌹,Codependent,🗡,✅,Accommodating Victory if my fiance achieves a Prim Victory.,,9,0,#NUM!,,,,,,,,,,,Set,no,yes,Sender set's heart side,
,,,,,,,10,0,#NUM!,,,,,,,,,,,None,yes,yes,,
,,,,,,,,,,,,,,,,,,,,Broken,yes,yes,,
Unassigned,,Remaining=,1,,,,Hand Size,5,,,,,,,,,,,,Set,yes,yes,,
,1,,,,,,Suits,3,,,,,,,,,,,,,,,,
,,,,,,,Cards per suit,19,,,,,,,,,,,,,,,,
,,,,,,,Total cards,57,,,,,,,,,,,,,,,,
,,,,,,,Leftover Cards,1,,,,,,,,,,,,,,,,
,,,,,,,Desires,9,6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,sheets,4,,,,,,,,,,,,,,,,
,,,,,,,spares,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Conviction of the future,,,,,,,,,,,,,,,,,,,,,,
,,Conviction of oneself,,,,,,,,,,,,,,,,,,,,,,
,,Behavior during uncertainty,,,,,,,,,,,,,,,,,,,,,,
,,Behavior during long engagement,,,,,,,,,,,,,,,,,,,,,,
,,Behavior during limited correspondence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Deceit,,,,,,,,,,,,,,,,,,,,,,
,,Charm,,,,,,,,,,,,,,,,,,,,,,
,,Bluff,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Redirect attention,,,,,,,,,,,,,,,,,,,,,,
,,Flirt,,,,,,,,,,,,,,,,,,,,,,
,,Conceal,,,,,,,,,,,,,,,,,,,,,,
,,,,," Ignore your desires, instead, win if you satisfy your fiance.",,,,,,,,,,,,,,,,,,,
,,,,, Your fiance cannot win if they do not satisfy you.,,,,,,,,,,,,,,,,,,,
